sample_id,review_text,annotator_1_label,annotator_2_label,adjudicated_label,notes
SA-001,"Công ty tốt, sếp tốt, môi trường năng động, văn hóa tốt. . Văn phòng đẹp, không khí thoáng và trong lành, không tạo áp lực cho nhân viên. lương cao việc nhẹ.
Cty có chế độ cho người OT và ko OT, không ép buộc. và giá cả cho OT cũng hài lòng dev. . Mỗi quý cty nên cho nhân viên đi chơi ít nhất 1 lần.",,,,
SA-002,"Công ty đáng nên vào . Sếp và nhân viên hòa hợp, công ty tổ chức nhiều hoạt động chuyên sâu và thu hút được nhiều người tham gia tích cực. Môi trường có người nước ngoài và làm việc chuyên nghiệp phát triển được bản thân. . Tăng lương chậm, ................................................
Nhiều lúc OT nhưng không được tính giờ, cả những lúc công việc bận không thể hoàn thành đúng deadline",,,,
SA-003,"Campus rộng rãi, nhiều tiện ích. Văn phòng đẹp . Văn phòng đẹp, rộng rãi. Mặc dù xa trung tâm nhưng có xe đưa rước.
Nhiều khóa học cho nhân viên tham gia.
Nhiều hoạt động văn hóa đoàn thể.
Thích hợp cho các bạn thích ổn định.
Chính sách OT hợp lý. Chi trả lương OT nếu thực sự cần thiết chứ không phải ở lại làm trễ là OT. . Khi có dự án thì OT khá nhiều, và không có lương cho OT
OT không có lương hoặc không trả đấy đủ cho nhân viên",,,,
SA-004,"Môi trường làm việc chuyên nghiệp . -Văn phòng, nơi làm việc đẹp, tiện nghi, sạch sẽ, thoáng mát.
-Thời gian làm việc không quá gò bó. . - Các sếp nên coi trọng ""khổ lao"" của dev, tester
- Chế độ đãi ngộ còn chưa đáp ứng tốt mong muốn của nhân viên.
OT quá không được tính lương OT thỏa đáng, các sếp thì ép nhân viên",,,,
SA-005,"Môi trường trẻ, làm việc vui vẻ. . Môi trường đa số toàn người trẻ chiếm tới 70%, phần đông là fresher/ junior nên khá vui vẻ. Thời gian làm việc linh động.
Trả lương OT đúng theo thời gian OT, OT có hỗ trợ đồ ăn chỗ ngủ tùy đơn vị, được nghỉ bù, nghỉ bù không hết được trả vào lương. . Lương so với thị trường vẫn còn ở mức trung bình, tuy là 1 tập đoàn lớn nhưng chưa có định hướng làm sản phẩm bán giải pháp.",,,,
SA-006,"Văn phòng đẹp, phúc lợi tốt . Văn phòng đẹp, lương thưởng dư án, lương 14 15 nhiều . Hạn chế họp nhiều quá mất thời gian, sếp bảo vệ nhân viên nhiều hơn
OT khó đươc duyệt tiền phụ cấp.",,,,
SA-007,"Good Company . - Môi trường làm việc chuyên nghiệp
- Nhân viên thân thiện
- Chính sách tốt cho nhân viên . - Tăng lương không đáng kể
- Tùy dự án, có thể OT nhiều",,,,
SA-008,"Công ty ổn định, gắn bó được lâu dài . Lương thưởng rõ ràng
Có bảo hiểm, có gói khám sức khỏe
Có chính sách tăng lương, đi company trip hằng năm
Đồng nghiệp thân thiện, hỗ trợ lẫn nhau
Công ty trả lương & OT minh bạch, chính sách rõ ràng . Cảm thấy thoải mái làm việc tại môi trường này chưa có đề nghị gì thêm",,,,
SA-009,"So so company . Big company with a lot of kind of project, and you can choose what you most want
There is not so much OT in this company . . Some team is not strong enough and just doing one work day by day, then their improvement is very slow",,,,
SA-010,"Mô trường làm việc ổn, chịu cầy cuốc thì OK . Lương vừa phải, có nhiều hoạt động ngoài nhóm. Văn phòng làm việc đẹp.
OT thì có thêm kinh nghiệm, được trả lương theo OT không thì tùy dự án, tình hình chung của ngành IT nên không có gì để than phiền. . Nên tập trung đào tạo năng lực nhân viên nhiều hơn, hay tuyển người giỏi bên ngoài vô để làm việc, mình không thích điều này",,,,
