sample_id,source_index,id,Company Name,Rating,rating_derived_weak_label,Recommend?
SA-001,1697,182,FPT Software,5,Positive,Yes
SA-002,5841,320,NTT DATA VDS,4,Positive,Yes
SA-003,2438,182,FPT Software,5,Positive,Yes
SA-004,3268,182,FPT Software,3,Neutral,Yes
SA-005,2431,182,FPT Software,3,Neutral,Yes
SA-006,299,50,Bosch Global Software Technologies Company Limited,4,Positive,Yes
SA-007,3984,215,Hitachi Digital Services,4,Positive,Yes
SA-008,8332,472,YOONG,5,Positive,Yes
SA-009,375,50,Bosch Global Software Technologies Company Limited,3,Neutral,Yes
SA-010,1608,182,FPT Software,3,Neutral,Yes
SA-011,2375,182,FPT Software,3,Neutral,No
SA-012,4877,264,LHV Software,3,Neutral,Yes
SA-013,3948,215,Hitachi Digital Services,2,Negative,No
SA-014,5507,306,NashTech,2,Negative,No
SA-015,2770,182,FPT Software,2,Negative,No
SA-016,260,50,Bosch Global Software Technologies Company Limited,3,Neutral,Yes
SA-017,6178,337,PAL TECH,4,Positive,Yes
SA-018,4502,253,KMS Technology,3,Neutral,Yes
SA-019,4816,262,LG Electronics Development Vietnam (LGEDV),3,Neutral,Yes
SA-020,3173,182,FPT Software,2,Negative,No
SA-021,2563,182,FPT Software,3,Neutral,Yes
SA-022,7690,437,TymeX,5,Positive,Yes
SA-023,2505,182,FPT Software,3,Neutral,No
SA-024,5022,276,MB Bank,5,Positive,Yes
SA-025,3776,215,Hitachi Digital Services,3,Neutral,Yes
SA-026,4198,223,IMT Solutions,3,Neutral,Yes
SA-027,7886,453,Viettel Post (A Member of Viettel Group),1,Negative,No
SA-028,83,24,Asilla,5,Positive,Yes
SA-029,252,50,Bosch Global Software Technologies Company Limited,2,Negative,No
SA-030,1554,182,FPT Software,3,Neutral,Yes
SA-031,3428,195,GeoComply (GeoTech Hub Vietnam),4,Positive,Yes
SA-032,5765,310,New Ocean IS,5,Positive,Yes
SA-033,7032,396,SmartOSC,3,Neutral,No
SA-034,5898,326,One Mount Group,4,Positive,No
SA-035,5885,325,OMNIA SYSTEMS COMPANY LIMITED,5,Positive,Yes
SA-036,4832,262,LG Electronics Development Vietnam (LGEDV),3,Neutral,Yes
